"","公司代號","Profit_this_year_3","Profit_last_year_4","Profit_last_year_3","股東配發s盈餘分配之現金股利元股","Profit_this_year_4_P","DivideRatio","DividendPredict","收盤價","InterestRatePercent"
"178","1720",1.56,2.09,1.57,1.5,2.07668789808917,0.717703349282297,1.49044585987261,"33.75",0.0441613588110403
"179","1721",0.01,0.07,0.03,0,0.0233333333333333,0,0,"8.82",0
"180","1722",1.58,2.33,1.68,2.2,2.19130952380952,0.944206008583691,2.06904761904762,"49.40",0.0418835550414498
"181","1723",4.91,6.5,4.94,5.3,6.46052631578947,0.815384615384615,5.26781376518219,"125.00",0.0421425101214575
"182","1724",0.48,0.76,0.43,0.5,0.848372093023256,0.657894736842105,0.558139534883721,"12.95",0.0430995779832989
"183","1725",0.97,1.2,1.05,0.84,1.10857142857143,0.7,0.776,"14.85",0.0522558922558923
"184","1726",2.85,4.61,3.74,3.5,3.5129679144385,0.759219088937093,2.66711229946524,"70.40",0.0378851178901312
"185","1727",0.2,0.9,0.71,0.6,0.253521126760563,0.666666666666667,0.169014084507042,"12.00",0.0140845070422535
"186","1730",4.62,4.96,3.33,3.5,6.88144144144144,0.705645161290323,4.85585585585586,"72.70",0.0667930654175496
"187","1731",0.74,0.57,0.64,0.3,0.6590625,0.526315789473684,0.346875,"13.30",0.0260808270676692
"188","1732",0.35,0.16,0,0,Inf,0,NA,"12.20",NA
"189","1733",0.33,0.95,1.33,0.85,0.235714285714286,0.894736842105263,0.210902255639098,"28.00",0.00753222341568206
"190","1734",-0.12,0.05,0.01,0.1,-0.6,2,-1.2,"19.40",-0.0618556701030928
"191","1735",0.96,0.1,0.04,0.15,2.4,1.5,3.6,"17.55",0.205128205128205
"192","1736",1.94,1.29,-0.5,0.65,-5.0052,0.503875968992248,-2.522,"83.30",-0.0302761104441777
"193","1737",1.35,2.26,1.94,1.8,1.57268041237113,0.796460176991151,1.25257731958763,"32.55",0.0384816380825693
"194","1760",1.36,2.09,0.88,1.76,3.23,0.842105263157895,2.72,"86.40",0.0314814814814815
"195","1762",1.03,3.02,3.07,1.2,1.01322475570033,0.397350993377483,0.402605863192182,"35.50",0.0113410102307657
"196","1773",4.21,6.2,4.67,5,5.58929336188437,0.806451612903226,4.50749464668094,"95.60",0.0471495255928969
"197","1776",0.65,-0.49,-0.32,0,0.9953125,0,0,"16.20",0
"198","1783",0.76,0.82,0.72,0.68049822,0.865555555555556,0.829875878048781,0.718303676666667,"25.05",0.0286747974717232
"199","1786",1.4,1.66,1.06,0.85456,2.19245283018868,0.514795180722892,1.1286641509434,"72.90",0.0154823614669876
"200","1789",0.21,0.56,0.44,0.49,0.267272727272727,0.875,0.233863636363636,"26.00",0.00899475524475524
"201","1795",2.17,0.42,0.11,0,8.28545454545455,0,0,"116.50",0
"202","1802",-0.51,0.37,0.36,0.3,-0.524166666666667,0.810810810810811,-0.425,"11.40",-0.037280701754386
"203","1805",-0.7,-1.17,-0.87,0,-0.941379310344828,0,0,"9.20",0
"204","1806",-0.81,-1.32,-0.93,0,-1.14967741935484,0,0,"6.80",0
"205","1808",-0.55,8.11,7.79,6.4,-0.572593068035943,0.789149198520345,-0.45186136071887,"61.70",-0.00732352286416321
"206","1809",-0.14,0,0.08,0.2,0,Inf,NA,"12.10",NA
"207","1810",0.08,-0.18,-0.09,0.2,0.16,-1.11111111111111,-0.177777777777778,"8.39",-0.0211892464574229
"208","1817",1.7,3.5,2.4,2.3,2.47916666666667,0.657142857142857,1.62916666666667,"35.40",0.0460216572504708
"209","1902",0.66,1.03,0.99,0.35,0.686666666666667,0.339805825242718,0.233333333333333,"21.30",0.0109546165884194
"210","1903",-0.5,-0.64,-0.51,0,-0.627450980392157,0,0,"34.05",0
"211","1904",1.38,3.38,3.06,1.1,1.5243137254902,0.325443786982249,0.496078431372549,"19.40",0.0255710531635335
"212","1905",-0.03,0.4,0.32,0.35,-0.0375,0.875,-0.0328125,"9.05",-0.00362569060773481
"213","1906",0.91,3.32,2.87,0.5,1.05268292682927,0.150602409638554,0.158536585365854,"14.30",0.0110864745011086
"214","1907",1.11,0.87,0.81,0.6,1.19222222222222,0.689655172413793,0.822222222222222,"13.55",0.0606806068060681
"215","1909",0.01,0.82,0.84,0.5,0.00976190476190476,0.609756097560976,0.00595238095238095,"15.70",0.00037913254473764
"216","2002",0.6,1.58,1.19,1,0.796638655462185,0.632911392405063,0.504201680672269,"24.10",0.0209212315631647
"217","2006",1.1,0.88,0.79,1.2,1.2253164556962,1.36363636363636,1.67088607594937,"23.35",0.071558290190551
"218","2007",-0.83,0.03,0.07,0,-0.355714285714286,0,0,"4.30",0
"219","2008",-0.33,-0.88,-0.84,0,-0.345714285714286,0,0,"12.40",0
"220","2009",-0.31,0.24,0.28,0,-0.265714285714286,0,0,"9.58",0
"221","2010",0.24,0.39,0.37,0.56,0.252972972972973,1.43589743589744,0.363243243243243,"10.20",0.0356120826709062
"222","2012",1.32,1.74,1.23,1.3,1.86731707317073,0.747126436781609,1.39512195121951,"20.25",0.0688949111713339
"223","2013",0.4,0.61,0.46,0.47,0.530434782608696,0.770491803278688,0.408695652173913,"25.15",0.0162503241421039
"224","2014",0.29,2.11,1.72,0.1,0.355755813953488,0.04739336492891,0.0168604651162791,"10.50",0.00160575858250277
"225","2015",2.55,5.06,3.65,4,3.53506849315068,0.790513833992095,2.79452054794521,"54.30",0.0514644668129872
"226","2017",-0.29,0.51,0.39,0.4,-0.379230769230769,0.784313725490196,-0.297435897435897,"6.72",-0.0442612942612943
"227","2020",1.63,1.34,1.34,1.4,1.63,1.04477611940298,1.70298507462687,"15.60",0.109165709911979
"228","2022",-0.34,-0.11,0.06,0,0.623333333333333,0,0,"5.50",0
"229","2023",-0.52,0.16,0.47,0.1,-0.177021276595745,0.625,-0.11063829787234,"9.34",-0.0118456421704861
"230","2024",0.2,0.77,0.7,0.6,0.22,0.779220779220779,0.171428571428571,"12.50",0.0137142857142857
"231","2025",-0.47,-1.83,-1.54,0,-0.558506493506494,0,0,"2.05",0
"232","2027",1.66,5.83,4.82,3,2.00784232365145,0.514579759862779,1.03319502074689,"31.40",0.0329043000237862
"233","2028",0.55,1.58,1.23,0,0.706504065040651,0,0,"10.40",0
"234","2029",0.14,0.33,0.34,0.25,0.135882352941176,0.757575757575758,0.102941176470588,"19.60",0.00525210084033613
"235","2030",0.72,1.97,1.68,1,0.844285714285714,0.50761421319797,0.428571428571428,"12.45",0.0344234079173838
"236","2031",0.55,3.17,4.49,1.5,0.388307349665924,0.473186119873817,0.183741648106904,"31.60",0.0058146091173071
"237","2032",0.34,0.13,0.14,0.13,0.315714285714286,1,0.315714285714286,"9.25",0.0341312741312741
"238","2033",0.01,0.15,0.16,0.2,0.009375,1.33333333333333,0.0125,"9.13",0.00136911281489595
"239","2034",1.6,2.23,2.01,1.8,1.77512437810945,0.807174887892377,1.43283582089552,"26.00",0.0551090700344432
"240","2038",-0.86,-1.09,-0.26,0,-3.60538461538462,0,0,"7.11",0
"241","2049",5.9,18.44,15.59,7,6.97857601026299,0.379609544468547,2.64913406029506,"279.50",0.00947811828370326
