公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1463 - 強盛染整,董事會通過,1,107/03/27,107/06/19,"12,014,979","571,379,005","522,689,259","2,884,116",3,0,"519,805,143",0,0,0,新台幣                 10.0000元
1464 - 得力實業,董事會通過,1,107/03/16,107/06/15,"201,865,513","370,329,503","355,819,438","21,253,786",1,1.2,"736,044,435",0,0,0,新台幣                 10.0000元
1465 - 偉全實業,董事會通過,1,107/03/20,107/06/11,"1,072,423","26,141,502","22,653,860","896,334",0.21,0.19,"41,442,907",0,0,0,新台幣                 10.0000元
1466 - 聚隆,董事會通過,1,107/03/27,107/06/29,"-25,517,335","-2,961,353","-19,598,982","-19,598,982",0,0,0,0,0,0,新台幣                 10.0000元
1467 - 南緯實業,董事會通過,1,107/03/29,107/06/26,0,"-76,597,150","-79,544,546","-79,544,546",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1468 - 昶和纖維,董事會通過,1,107/03/21,107/06/27,"-746,093,226","-94,279,749","-838,742,179","-838,742,179",0,0,0,0,0,0,新台幣                 10.0000元
1469 - 理隆纖維,董事會通過,1,107/02/13,107/05/10,"-322,989,452","-81,367,872","-399,286,716","-399,286,716",0,0,0,0,0,0,新台幣                 10.0000元
1470 - 大統染,董事會通過,1,107/03/28,107/06/29,"8,007,274","41,834,177","48,920,197","6,036,697",0.5,0,"42,883,500",0,0,0,新台幣                 10.0000元
1471 - 首利,董事會通過,1,107/03/29,107/06/26,"-341,504,989","-451,013,006","-254,944,912",0,0,0,0,0,0,0,新台幣                 10.0000元
1472 - 三洋紡,董事會通過,1,107/03/15,107/06/29,"-337,002,786","-45,948,000","-46,162,630","-46,162,630",0,0,0,0,0,0,新台幣                 10.0000元
1473 - 台南企業,董事會通過,1,107/03/27,107/06/28,"703,497,303","93,857,967","719,538,894","646,134,127",0.5,0,"73,404,767",0,0,0,新台幣                 10.0000元
1474 - 弘裕,董事會通過,1,107/03/09,107/06/27,"125,141,795","108,999,283","220,054,678","142,116,497",0.6,0,"77,938,181",0,0,0,新台幣                 10.0000元
1475 - 本盟光電,董事會通過,1,107/03/23,107/06/28,"-413,076,523","-197,162,174","-246,684,625","-246,684,625",0,0,0,0,0,0,新台幣                 10.0000元
1476 - 儒鴻,董事會通過,1,107/03/15,107/06/14,"3,590,924,311","3,052,055,468","6,240,525,595","3,634,038,040",9.5,0,"2,606,487,555",0,0,0,新台幣                 10.0000元
1477 - 聚陽實業,董事會通過,1,107/03/27,107/06/27,"43,592,678","1,286,086,494","1,084,851,682","16,976,860",5.1,0.9,"1,256,323,320",0,0,0,新台幣                 10.0000元
1503 - 士電,董事會通過,1,107/03/09,107/06/14,"5,596,633,598","1,329,458,907","6,730,792,991","6,053,529,101",1.3,0,"677,263,890",0,0,0,新台幣                 10.0000元
1504 - 東元電機,董事會通過,1,107/03/26,107/06/15,"9,706,171,298","3,092,357,888","12,441,101,944","10,718,786,062",0.86,0,"1,722,315,882",0,0,0,新台幣                 10.0000元
1506 - 正道,董事會通過,1,107/03/23,107/06/29,"-11,672","-15,092","-27,972",0,0,0,0,0,0,0,新台幣                 10.0000元
1507 - 永大機電,董事會通過,1,107/03/15,107/06/14,"3,190,305,112","1,127,885,884","4,123,444,525","3,301,804,525",2,0,"821,640,000",0,0,0,新台幣                 10.0000元
1512 - 瑞利,董事會通過,1,107/03/28,107/06/29,"-664,146,483","-561,964,844","-1,239,757,415","-1,239,757,415",0,0,0,0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1513 - 中興電,董事會通過,1,107/03/30,107/06/29,"362,421,311","488,165,246","738,911,032","318,911,032",1,0,"420,000,000",0,0,0,新台幣                 10.0000元
1514 - 亞力電機,董事會通過,1,107/03/28,107/06/28,"22,750,908","115,913,731","125,937,455","25,403,948",0.5,0,"100,533,507",0,0,0,新台幣                 10.0000元
1515 - 力山,董事會通過,1,107/03/20,107/05/24,"335,157,829","270,297,592","539,158,947","321,390,747",1.2,0,"217,768,200",0,0,0,新台幣                 10.0000元
1516 - 川飛,董事會通過,1,107/03/09,107/06/05,"1,072,533","16,700,214","16,102,726","1,072,526",0,0,0,0.49456654,0,"1,503,020",新台幣                 10.0000元
1519 - 華城電機,董事會通過,1,107/03/23,107/06/12,"86,796,931","92,764,521","147,619,991","43,196,572",0.4,0,"104,423,419",0,0,0,新台幣                 10.0000元
1521 - 大億,董事會通過,1,107/03/22,107/06/11,"48,061,201","499,364,436","483,311,537","86,915,537",5.2,0,"396,396,000",0,0,0,新台幣                 10.0000元
1522 - 堤維西,董事會通過,1,107/03/23,107/06/21,"651,631,344","660,060,089","1,139,411,946","638,775,336",1.6,0,"500,636,610",0,0,0,新台幣                 10.0000元
1524 - 耿鼎企業,董事會通過,1,107/03/13,107/06/12,"83,456,913","164,579,710","225,137,543","144,279,200",0.45,0,"80,858,343",0,0,0,新台幣                 10.0000元
1525 - 江申工業,董事會通過,1,107/03/21,107/06/21,"2,069,435,116","540,583,601","2,557,766,437","2,381,606,113",2.4,0,"176,160,324",0,0,0,新台幣                 10.0000元
1526 - 日馳,董事會通過,1,107/03/24,107/06/26,"111,615,546","135,663,814","231,408,583","181,408,583",1,0,"50,000,000",0,0,0,新台幣                 10.0000元
1528 - 恩德,董事會通過,1,107/03/22,107/05/29,"5,058,022","96,521,938","86,103,677","5,404,727",0.45,0.05,"89,665,500",0,0,0,新台幣                 10.0000元
1529 - 樂士,董事會通過,1,107/02/27,107/06/04,"-2,762,408,157","60,696,919","-5,341,871,185","-5,341,871,185",0,0,0,0,0,0,新台幣                 10.0000元
1530 - 亞崴機電,董事會通過,1,107/03/21,107/06/12,"975,386,813","176,352,677","1,101,033,531","980,290,817",1.25,0,"120,742,714",0,0,0,新台幣                 10.0000元
1531 - 高林股,董事會通過,1,107/03/27,107/06/22,"924,342,227","156,929,189","1,064,684,587","916,678,123",0.8,0,"148,006,464",0,0,0,新台幣                 10.0000元
1532 - 勤美,董事會通過,1,107/03/30,107/06/21,"4,098,187,318","609,426,370","4,256,419,123","3,678,540,955",1.5,0,"577,878,168",0,0,0,新台幣                 10.0000元
面額新台幣10元之公司,,,,,,,,,,,,,,,
公司代號名稱,資料來源,期別,董事會決議通過股利分派日,股東會日期,期初未分配盈餘/待彌補虧損(元),本期淨利(淨損)(元),可分配盈餘(元),分配後期末未分配盈餘(元),股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積、資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積、資本公積轉增資配股(元/股),股東配發-股東配股總股數(股),普通股每股面額
1533 - 車王電,董事會通過,1,107/03/23,107/06/15,"661,254,155","113,143,028","685,098,300","655,534,054",0.3,0,"29,564,246",0,0,0,新台幣                 10.0000元
1535 - 中宇,董事會通過,1,107/03/21,107/06/22,"465,948,903","186,803,620","605,447,898","450,769,708",1.25,0,"154,678,190",0,0,0,新台幣                 10.0000元
1536 - 和大工業,董事會通過,1,107/03/22,107/06/12,0,0,0,0,3.75,0,"956,086,924",0,0,0,新台幣                 10.0000元
